cd,inc_medianHHI,inc_meanHHI,inc_perCapita,popEmp_16plusTotalPop,popEmp_civilianLaborForce,popEmp_civLaborForceEmployed,popEmp_civLaborForceUnemployed,popEmp_armedForces,civInd_16plusTotalEmpl,civInd_AgricultureForestryFishingHuntingMining,civInd_Construction,civInd_Manufacturing,civInd_Wholesale,civInd_Retail,civInd_TransportWarehousingUtilities,civInd_Information,civInd_FinanceInsuranceRealestate,civInd_ProfessionalScientificManagementAdministrationWaste,civInd_EducationHealthSocial,civInd_ArtsEntertainRecAccommodateFood,civInd_Other,civInd_Publicadmin,civHealth_nonInstTotalPop,civHealth_covered,civHealth_private,civHealth_public,civHealth_none
GE-10,79167,99668,37967,671949,429725,411481,18244,890,411481,4156,32385,45555,6630,51692,28334,5753,20939,43532,95736,36592,21236,18941,824921,736716,573700,253380,88205
GE-11,98527,130129,49716,660877,439904,423915,15989,656,423915,2424,38794,44192,10550,45005,22207,10272,30591,67235,80074,39589,21103,11879,805302,715859,590894,206918,89443
GE-12,62739,84769,33059,631140,364144,342480,21664,8971,342480,4979,25778,37039,6038,44973,23175,5149,15907,32701,81287,30743,15202,19509,754684,674750,479525,300737,79934
GE-13,84937,105723,36507,644597,431148,407106,24042,371,407106,616,25599,30070,8214,45865,44375,8693,22843,55718,91186,31276,21407,21244,815281,710584,539306,263445,104697
GE-14,78969,100660,37343,641809,407493,391735,15758,1039,391735,1691,31711,64480,7874,45105,25523,5501,20343,41507,85746,28587,19506,14161,786355,695049,524300,248990,91306
HI-01,102713,135490,49423,598439,365835,354889,10946,27666,354889,870,24243,11962,6340,35014,25712,4327,24883,37022,88016,46916,15419,34165,685172,665432,537581,253277,19740
HI-02,97135,127954,44033,586047,344325,331287,13038,21447,331287,5580,30640,8623,5437,34945,17971,3681,21117,36626,67736,57111,15962,25858,701716,673530,496892,302740,28186
ID-01,82979,104950,39882,822231,503370,484219,19151,1363,484219,15837,48162,43856,12666,61027,21752,7481,25366,52561,107982,40016,22808,24705,1019483,918554,707780,346480,100929
ID-02,79009,103133,39858,771563,499270,481025,18245,3848,481025,20637,36966,44736,10194,52916,24337,5919,26508,59160,114180,41728,20407,23337,955243,874620,670603,319570,80623
IL-01,69490,99527,40244,593322,370536,339672,30864,90,339672,889,18438,24917,5975,35744,35864,4198,20546,38040,93579,28346,15863,17273,730507,680881,465422,293588,49626
IL-02,63599,82632,34461,586324,365759,330565,35194,326,330565,4346,13840,31897,7254,32252,39485,5601,18594,29145,90322,23796,14947,19086,721550,667579,431130,322517,53971
IL-03,87098,121553,45285,594606,410525,386068,24457,75,386068,1095,23133,44423,9749,38599,26259,7394,24872,57410,78207,43807,18386,12734,728493,649108,467956,235042,79385
IL-04,80103,112073,36783,580693,369517,350374,19143,347,350374,910,21147,46922,11199,35068,31265,4882,19587,46916,68644,35953,17123,10758,700865,605699,387446,272401,95166
