CD,DEM,REP,MARGIN,REMAIN
va-08,71.52,24.66,46.86,3.82
va-09,27.33,72.49,-45.16,0.18
va-10,52.09,47.54,4.55,0.37
va-11,66.68,32.86,33.82,0.46
vt-00,62.29,29.79,32.50,7.92
wa-01,63,36.75,26.25,0.25
wa-02,63.83,35.86,27.97,0.31
wa-03,51.74,47.86,3.88,0.40
wa-04,--,98.17,--,1.83
wa-05,39.29,60.57,-21.28,0.14
wa-06,56.71,43.11,13.60,0.18
wa-07,83.91,15.77,68.14,0.32
wa-08,53.96,45.8,8.16,0.24
wa-09,65.44,32.44,33.00,2.12
wa-10,58.54,41.23,17.31,0.23
wi-01,43.81,54.01,-10.20,2.18
wi-02,70.05,29.82,40.23,0.13
wi-03,48.6,51.32,-2.72,0.08
wi-04,74.77,22.41,52.36,2.82
wi-05,35.5,64.4,-28.90,0.10
wi-06,38.66,61.23,-22.57,0.11
wi-07,36.37,63.56,-27.19,0.07
wi-08,42.64,57.29,-14.65,0.07
wv-01,26.15,66.36,-40.21,7.49
wv-02,29.23,70.77,-41.54,0.00
wy-00,23.24,70.61,-47.37,6.15
